NO,TITLE,REFERENCE NUMBER,RESPONSIBLE OFFICE ,DATE ,URL,KEY WORD/S
2822,SUPPORT TO OPLAN BALIK ESKWELA,MC2006-052,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-052.pdf,SUPPORT TO OPLAN BALIK ESKWELA
2821,2006 NATIONAL FLAG DAY CELEBRATION,MC2006-051,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-051.pdf,2006 NATIONAL FLAG DAY CELEBRATION
2820,NATIONAL HERITAGE MONTH,MC2006-050,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-050.pdf,NATIONAL HERITAGE MONTH
2819,VICE MAYORS LEAGUE OF THE PHILIPPINES 1st NORTHERN LUZON LOCAL LEGISLATIVE SUMMIT FOR CHILDREN,MC2006-048,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-048.pdf, 1st NORTHERN LUZON LOCAL LEGISLATIVE
2818,SUPPLEMENTAL GUIDELINES ON THE FOOD FOR SCHOOL PROGRAM (FSP) FOR SUMMER (APRIL-JUNE 2006),MC2006-047,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-047.pdf,SCHOOL PROGRAM (FSP)
2817,NUTRITION MONTH (NM) CELEBRATION JULY 2006,MC2006-046,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-046.pdf,NUTRITION MONTH (NM) CELEBRATION 
2816,REVITALIZATION AND STRENGTHENING OF THE BARANGAY HUMAN RIGHTS ACTION CENTER (BHRAC) PROGRAM,MC2006-045,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-045.pdf,BARANGAY HUMAN RIGHTS ACTION CENTER 
2815,ATTENDANCE TO THE 1ST MINDANAO SUMMIT ON OCCUPATIONAL SAFETY AND HEALTH,MC2006-044,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-044.pdf,1ST MINDANAO SUMMIT ON OCCUPATIONAL 
2814,LMP MINDANAO ISLAND CONFERENCE,MC2006-043,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-043.pdf,LMP MINDANAO ISLAND CONFERENCE
2813,"ESTABLISHMENT OR DESIGNATION OF FREEDOM PARKS IN ACCORDANCE WITH SECTION 15 OF BATAS PAMBANSA BLG. 880, OTHERWISE KNOWN AS, THE PUBLIC ASSEMBLY ACT OF 1985",MC2006-042,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-042.pdf,SECTION 15 OF BATAS PAMBANSA BLG. 880
2812,ADVOCACY ON CHARTER CHANGE: ORIENTATION CUM TRAINING AND CONSULTATION,MC2006-041,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-041.pdf,ORIENTATION TRAINING AND CONSULTATION
2811,EXTENSION OF DEADLINE FOR THE SUBMISSION OF ENTRIES FOR THE PRESIDENTIAL AWARDS FOR THE CHILD-FRIENDLY MUNICIPALITIES AND CITIES,MC2006-040,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-040.pdf,PRESIDENTIAL AWARDS
2810,ATTENDANCE TO THE 3rd KAMPO KALIKASAN 2006,MC2006-039,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-039.pdf,ATTENDANCE TO THE 3rd KAMPO KALIKASAN 2006
2809,CY 2006 PHILIPPINE NATIONAL RED CROSS MEMBERSHIP AND FUND DRIVE,MC2006-038,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-038.pdf,NATIONAL RED CROSS MEMBERSHIP AND FUND DRIVE
2808,6th VISAYAS ISLAND CONGRESS OF THE PHILIPPINE COUNCILORS LEAGUE,MC2006-037,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-037.pdf,6th VISAYAS ISLAND CONGRESS
2807,"SEMINAR-WORKSHOP AND LGU SHARING FORUM ON ""ALTERNATIVES IN FINANCING SUSTAINABLE ENVIRONMENTAL PROJECTS""",MC2006-036,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-036.pdf,FINANCING SUSTAINABLE ENVIRONMENTAL PROJECTS
2806,6TH LUZON ISLAND CONGRESS OF THE PHILIPPINE COUNCILORS LEAGUE,MC2006-035,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-035.pdf,6TH LUZON ISLAND CONGRESS
2805,6TH MINDANAO ISLAND CONGRESS OF THE PHILIPPINE COUNCILORS LEAGUE,MC2006-034,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-034.pdf,6TH MINDANAO ISLAND CONGRESS
2804,LLPDCPI 17th ANNUAL NATIONAL CONVENTION,MC2006-033,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-033.pdf,LLPDCPI 17th ANNUAL NATIONAL CONVENTION
2803,31st UNESCO-INTERNATIONAL THEATRE INSTITUTE (ITI) WORLD CONGRESS AND THEATRE OLYMPICS OF THE UNITED NATIONS,MC2006-032,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-032.pdf,31st UNESCO-INTERNATIONAL THEATRE INSTITUTE
2802,BIMP-EAGA URBAN SCOUT JAMBOREE,MC2006-031,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-031.pdf,BIMP-EAGA URBAN SCOUT JAMBOREE
2801,VMLP 16th NATIONAL CONVENTION,MC2006-030,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-030.pdf,VMLP 16th NATIONAL CONVENTION
2800,LADY MUNICIPAL MAYORS ASSOCIATION OF THE PHILIPPINES 3rd GENERAL ASSEMBLY,MC2006-029,,28/12/2006,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-029.pdf,LADY MUNICIPAL MAYORS ASSOCIATION
2799,"MARCH 25 AND OCTOBER 21, 2006 BARANGAY ASSEMBLIES",MC2006-025,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-025.pdf,"MARCH 25 AND OCTOBER 21, 2006 BARANGAY"
2798,FLOW OF FINANCIAL REQUESTS AND OTHER BUDGETARY COMMUNICATIONS,MC2006-024,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-024.pdf,FLOW OF FINANCIAL REQUESTS 
2797,EARTH MONTH AND INTERNATIONAL EARTH DAY,MC2006-023,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-023.pdf,EARTH MONTH AND INTERNATIONAL EARTH DAY
2796,"AMENDING MEMORANDUM CIRCULAR NO. 2001-52 DATED MAY 8, 2001, ENTITLED, RULES AND REGULATIONS GOVERNING THE FOREIGN TRAVEL OF LOCAL GOVERNMENT OFFICIALS AND EMPLOYEES",MC2006-022,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-022.pdf,MEMORANDUM CIRCULAR NO. 2001-52
2795,DISSEMINATION OF THE APPROVED SURVEY FORM FOR THE PROFILING OF SENIOR CITIZENS TO MONITOR THE IMPLEMENTATION OF RA 9257 OTHERWISE KNOWN AS THE EXPANDED SENIOR CITIZEN ACT OF 2003,MC2006-021,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-021.pdf, IMPLEMENTATION OF RA 9257
2794,PREPAREDNESS FOR NATURAL HAZARDS,MC2006-020,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-020.pdf,PREPAREDNESS FOR NATURAL HAZARDS
2793,2006 PRESIDENTIAL AWARDS FOR THE CHILD-FRIENDLY MUNICIPALITIES AND CITIES,MC2006-019,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-019.pdf,2006 PRESIDENTIAL AWARDS
2792,NATIONAL CELEBRATION OF 2006 WOMEN'S MONTH AND DAY,MC2006-018,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-018.pdf,2006 WOMEN'S MONTH AND DAY
2791,CONDUCT OF BARANGAY ASSEMBLIES,MC2006-017,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-017.pdf,CONDUCT OF BARANGAY ASSEMBLIES
2790,20th ANNIVERSARY CELEBRATION OF EDSA PEOPLE POWER,MC2006-016,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-016.pdf,20th EDSA PEOPLE POWER
2789,PCL LOCAL LEGISLATIVE TOOLKIT,MC2006-015,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-015.pdf,PCL LOCAL LEGISLATIVE TOOLKIT
2788,2nd PHILIPPINE MARATHON FOR THE PASIG RIVER,MC2006-014,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-014.pdf,2nd PHILIPPINE MARATHON FOR THE PASIG RIVER
2787,LGU SUPPORT TO THE GOVERNMENT EFFORTS TO MITIGATE HUNGER,MC2006-013,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-013.pdf,GOVERNMENT EFFORTS TO MITIGATE HUNGER
2786,CY 2006 ANTI-TB EDUCATIONAL AND FUND CAMPAIGN,MC2006-012,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-012.pdf,CY 2006 ANTI-TB EDUCATIONAL AND FUND CAMPAIGN
2785,COMPLIANCE TO BATAS PAMBANSA BILANG 344 OR THE ACCESSIBILITY LAW AND REPUBLIC ACT NO. 7277 KNOWN AS THE MAGNA CARTA FOR DISABLED PERSONS,MC2006-011,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-011.pdf,REPUBLIC ACT NO. 7277
2784,CONFERENCE ON DECENTRALIZATION AND LOCAL AUTONOMY,MC2006-010,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-010.pdf,DECENTRALIZATION AND LOCAL AUTONOMY
2783,STRATEGIC PARTNERSHIPS BETWEEN LGUS AND LOCAL WATER DISTRICTS FOR THE PRESIDENT'S PRIORITY PROGRAM ON WATER,MC2006-009,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-009.pdf,STRATEGIC PARTNERSHIPS 
2782,"OBSERVANCE OF THE ""NATIONAL AWARENESS WEEK FOR THE PREVENTION OF CHILD SEXUAL ABUSE AND EXPLOITATION""",MC2006-008,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-008.pdf,CHILD SEXUAL ABUSE AND EXPLOITATION
2781,NMYL 15th NATIONAL CONGRESS,MC2006-007,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-007.pdf,NMYL 15th NATIONAL CONGRESS
2780,AUTHORITY TO ATTEND THE SANGGUNIANG KABATAAN RESEARCH VALIDATION WORKSHOP,MC2006-006,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-006.pdf,AUTHORITY TO ATTEND
2779,2006 NATIONAL ARTS MONTH,MC2006-004,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-004.pdf,2006 NATIONAL ARTS MONTH
2778,POLICY GUIDELINES IN THE PREPARATION OF THE DILG FY 2006 OPERATIONS PLAN AND BUDGET (OPB),MC2006-003,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-003.pdf,OPERATIONS PLAN AND BUDGET (OPB)
2777,REGIONAL SEMINAR-WORKSHOP ON STRENGTHENING LOCAL GENDER AND DEVELOPMENT BUDGETING TOWARDS INSTITUTIONALIZING LOCAL GENDER-RESPONSIVE PLANNING AND BUDGETING,MC2006-002,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-002.pdf, LOCAL GENDER AND DEVELOPMENT BUDGETING 
2776,2006 METROBANK FOUNDATION'S SEARCH FOR OUTSTANDING TEACHERS,MC2006-001,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2006-001.pdf,2006 METROBANK FOUNDATION'S
2775,"REITERATING DILG MC NO. 2002-188 ON THE STRICT IMPLEMENTATION OF REPUBLIC ACT NO. 7183, TITLED: AN ACT REGULATING THE SALE, MANUFACTURE, DISTRIBUTION AND USE OF FIRECRACKERS AND OTHER PYROTECHNIC DEVICES",MC2007-165,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-165.pdf,DILG MC NO. 2002-188
2774,DISSEMINATION AND DISTRIBUTION OF APPROVED REVISED AND CONSOLIDATED DTI AND DA SENIOR CITIZEN PURCHASE BOOKLET,MC2007-164,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-164.pdf,DISSEMINATION AND DISTRIBUTION OF APPROVED
2773,OBSERVANCE OF THE 11th YEAR ANNIVERSARY OF THE MARTYRDOM OF DR. JOSE P. RIZAL,MC2007-163,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-163.pdf,11th YEAR ANNIVERSARY OF THE MARTYRDOM
2772,"USE OF POLYVINYL CHLORIDE PIPE ""BOGA""",MC2007-162,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-162.pdf,"USE OF POLYVINYL CHLORIDE PIPE ""BOGA"""
2771,GUIDELINES IN THE PREPARATION OF DILG FY 2008 OPERATIONS PLAN AND BUDGET (OPB),MC2007-161,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-161.pdf, 2008 OPERATIONS PLAN AND BUDGET (OPB)
2770,LIGA NG MGA BARANGAY PROVINCIAL/METROPOLITAN/HIGHLY URBANIZED CITY (HUC)/INDEPENDENT COMPONENT CITY (ICC) CHAPTER ELECTIONS,MC2007-160,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-160.pdf,LIGA NG MGA BARANGAY PROVINCIA
2769,LIGA NG MGA BARANGAY MUNICIPAL AND COMPONENT CITY CHAPTER ELECTIONS,MC2007-159,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-159.pdf, MUNICIPAL AND COMPONENT CITY CHAPTER ELECTIONS
2768,NMYL 16th NATIONAL CONGRESS,MC2007-158,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-158.pdf,NMYL 16th NATIONAL CONGRESS
2767,AMENDMENT TO THE PROVISION ON THE CONDUCT OF ISKOLAR-BOS PURSUANT TO M.C. 2007-150,MC2007-157,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-157.pdf, ISKOLAR-BOS PURSUANT TO M.C. 2007-150
2766,DEFERMENT OF PAYMENT OF LIGA DUES,MC2007-156,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-156.pdf,DEFERMENT OF PAYMENT OF LIGA DUES
2765,CREATION/STRENGTHENING OF LOCAL LITERACY COORDINATING COUNCIL/LITERACY IMPLEMENTING UNITS,MC2007-155,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-155.pdf,LOCAL LITERACY COORDINATING COUNCIL
2764,2007 WORLD AIDS DAY,MC2007-154,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-154.pdf,2007 WORLD AIDS DAY
2763,PRECAUTIONARY MEASURES AGAINST NATURAL DISASTERS AND CALAMITIES,MC2007-153,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-153.pdf,PRECAUTIONARY MEASURES 
2762,OBSERVANCE OF THE 18-DAY CAMPAIGN TO ELIMINATE VIOLENCE AGAINST WOMEN (VAWC),MC2007-152,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-152.pdf,VIOLENCE AGAINST WOMEN (VAWC)
2761,CONDUCT OF THE LIGA NG MGA BARANGAY CHAPTER ELECTIONS AT ALL LEVELS,MC2007-151,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-151.pdf,CHAPTER ELECTIONS AT ALL LEVELS
2760,CONDUCT OF THE SANGGUNIANG KABATAAN FEDERATION ELECTIONS AT ALL LEVELS,MC2007-150,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-150.pdf,FEDERATION ELECTIONS AT ALL LEVELS
2759,"(1) DOJ OPINION NO. 8, S. 2005, REGARDING LGU ORDINANCES PRECAUTIONS IMPOSING A MORATORIUM ON LARGE-SCALE MINING ACTIVITIES (2) DENR MEMORANDUM CIRCULAR NO. 2007-07, ""CLARIFICATORY GUIDELINES IN THE IMPLEMENTATION OF SMALL-SCALE MINING LAWS""",MC2007-147,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-147.pdf," DOJ OPINION NO. 8, S. 2005"
2758,PHILIPPINE COUNCILORS LEAGUE'S HONOREES NIGHT,MC2007-146,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-146.pdf,PHILIPPINE COUNCILORS LEAGUE'S HONOREES NIGHT
2757,LADY MUNICIPAL MAYORS ASSOCIATION OF THE PHILIPPINES 5th GENERAL ASSEMBLY AND ELECTION OF OFFICERS,MC2007-145,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-145.pdf,5th GENERAL ASSEMBLY AND ELECTION OF OFFICERS
2756,EXTENSION OF THE PERIOD FOR THE PHILIPPINE COUNCILORS LEAGUE'S (PCL) REGIONAL COUNCIL ELECTIONS,MC2007-144,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-144.pdf, PHILIPPINE COUNCILORS LEAGUE'S (PCL) 
2755,"ADDENDUM TO THE GUIDELINES AND TIME PERIODS IN THE ISSUANCE OF DEVELOPMENT PERMITS, MAYOR's PERMITS AND BARANGAY CLEARANCES FOR HOUSING PROJECTS",MC2007-143,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-143.pdf,GUIDELINES AND TIME PERIODS
2754,NATIONAL FORUM ON LOCAL GOVERNMENT TECHNICAL EXCHANGE AND COOPERATION,MC2007-141,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-141.pdf,NATIONAL FORUM ON LOCAL GOVERNMENT TECHNICAL 
2753,NEW SENIOR CITIZEN PURCHASE BOOKLET,MC2007-140,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-140.pdf,NEW SENIOR CITIZEN PURCHASE BOOKLET
2752,DOH NATIONAL HEALTH PROMOTION CONFERENCE,MC2007-139,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-139.pdf,DOH NATIONAL HEALTH PROMOTION CONFERENCE
2751,"SUPPORT TO THE DEPARTMENT OF HEALTH (DOH) ""KNOCK-OUT TIGDAS"" CAMPAIGN",MC2007-138,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-138.pdf," ""KNOCK-OUT TIGDAS"" CAMPAIGN"
2750,ENHANCING TRANSPARENCY MEASURES PURSUANT TO EXECUTIVE ORDER NO. 662,MC2007-137,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-137.pdf,EXECUTIVE ORDER NO. 662
2749,2007 OBSERVANCE OF THE NATIONAL WEEK FOR OVERCOMING EXTREME POVERTY,MC2007-136,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-136.pdf,2007 OBSERVANCE OF THE NATIONAL WEEK 
2748,"ATTENDANCE OF YOUTH PARTICIPANTS, PARTICULARLY, THE SANGGUNIANG KABATAAN OFFICERS AND MEMBERS TO THE 45th NATIONAL RIZAL YOUTH LEADERSHIP INSTITUTE CONFERENCE",MC2007-135,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-135.pdf,45th NATIONAL RIZAL YOUTH LEADERSHIP 
2747,COMMEMORATING THE 16th LOCAL GOVERNMENT CODE ANNIVERSARY,MC2007-134,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-134.pdf,16th LOCAL GOVERNMENT CODE ANNIVERSARY
2746,PBMLP 16th NATIONAL CONVENTION,MC2007-133,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-133.pdf,PBMLP 16th NATIONAL CONVENTION
2745,"GUIDELINES AND TIME PERIODS IN THE ISSUANCE OF DEVELOPMENT PERMITS, MAYOR's PERMITS AND BARANGAY CLEARANCES FOR HOUSING PROJECTS",MC2007-132,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-132.pdf,SSUANCE OF DEVELOPMENT PERMITS
2744,LINIS HANGIN SA SIYUDAD/MUNISIPYO PROGRAM,MC2007-131,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-131.pdf,LINIS HANGIN SA SIYUDAD/MUNISIPYO PROGRAM
2743,KATARUNGANG PAMBARANGAY,MC2007-129,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-129.pdf,Pambarangay
2742,2007 OBSERVANCE OF THE ELDERLY FILIPINO WEEK,MC2007-128,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-128.pdf,2007 OBSERVANCE OF THE ELDERLY FILIPINO WEEK
2741,LINGGO NG KASUOTANG PILIPINO AND NATIONAL TOURISM WEEK,MC2007-127,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-127.pdf,KASUOTANG PILIPINO AND NATIONAL TOURISM WEEK
2740,"ADVISORY ON THE IMPLEMENTATION OF SECTION 22 OF RA 9211, OTHERWISE KNOWN AS THE ""TOBACCO REGULATION ACT OF 2003""",MC2007-126,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-126.pdf,"""TOBACCO REGULATION ACT OF 2003"
2739,ATTENDANCE TO THE PHILIPPINE COUNCILORS LEAGUE'S PRESIDENTS ACADEMY SEMINAR,MC2007-125,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-125.pdf,PHILIPPINE COUNCILORS LEAGUE'S PRESIDENTS
2738,FIFTH GENERAL ASSEMBLY OF THE LOCAL COUNCILS OF WOMEN,MC2007-124,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-124.pdf,FIFTH ASSEMBLY OF THE COUNCILS OF WOMEN
2737,CONDUCT OF 2nd RIZAL NATIONAL FESTIVAL OF EXCELLENCE,MC2007-123,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-123.pdf,2nd RIZAL NATIONAL FESTIVAL OF EXCELLENCE
2736,"ATTENDANCE AND PARTICIPATION TO THE ""SEMINAR-WORKSHOP ON TRICYCLE OPERATIONS MANAGEMENT""",MC2007-122,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-122.pdf," ""SEMINAR-WORKSHOP ON TRICYCLE"""
2735,6th MINDANAO INFORMATION AND COMMUNICATIONS TECHNOLOGY (ICT) CONGRESS AND 1st BRUNEI DARUSSALAM-INDONESIA-MALAYSIA-PHILIPPINES EAST ASEAN GROWTH AREA (BIMP-EAGA) ICT CONFERENCE,MC2007-121,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-121.pdf,6th MINDANAO (ICT)
2734,2007 INTERNATIONAL SEMINAR ON SANITATION,MC2007-120,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-120.pdf,2007 INTERNATIONAL SEMINAR ON SANITATION
2733,MONTH-LONG OBSERVANCE OF THE NATIONAL PEACE CONSCIOUSNESS MONTH,MC2007-119,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-119.pdf, NATIONAL PEACE CONSCIOUSNESS MONTH
2732,NATIONAL CORRECTIONAL CONSCIOUSNESS WEEK,MC2007-118,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-118.pdf,NATIONAL CORRECTIONAL CONSCIOUSNESS WEEK
2731,SUPPORT TO THE PEACE DECLARATION,MC2007-117,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-117.pdf,SUPPORT TO THE PEACE DECLARATION
2730,NATIONAL CELEBRATION OF 2007 RURALWOMEN'S DAY,MC2007-116,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-116.pdf,CELEBRATION OF 2007 RURALWOMEN'S DAY
2729,ACCESSIBILITY OF INFORMATION ON TAXPAYERS BETWEEN THE BUREAU OF INTERNAL REVENUE AND THE LOCAL GOVERNMENT UNITS FOR TAX COLLECTION PURPOSES,MC2007-115,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-115.pdf, TAXPAYERS BUREAU OF INTERNAL REVENUE 
2728,"GUIDANCE ON UPDATING THE MEDIUM-TERM COMPREHENSIVE DEVELOPMENT PLAN (CDP), CONTENTS OF THE EXECUTIVE LEGISLATIVE AGENDA, FORMULATION OF THE PROVINCIAL DEVELOPMENT & PHYSICAL FRAMEWORK PLAN (PDPFP) AND RECONSTITUTION OF THE LOCAL DEVELOPMENT COUNCIL (LDC)",MC2007-114,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-114.pdf,COMPREHENSIVE DEVELOPMENT PLAN (CDP)
2727,OBSERVANCE OF CHILDREN'S MONTH IN OCTOBER 2007,MC2007-113,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-113.pdf,CHILDREN'S MONTH IN OCTOBER 2007
2726,2007 NATIONAL LITERACY CONFERENCE,MC2007-112,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-112.pdf,2007 NATIONAL LITERACY CONFERENCE
2725,PERSONAL SAFETY LESSONS PROGRAM OF THE CENTER FOR THE PREVENTION AND TREATMENT OF CHILD SEXUAL ABUSE (CPTCSA),MC2007-111,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-111.pdf,PERSONAL SAFETY LESSONS PROGRAM 
,22nd INTERNATIONAL COASTAL CLEANUP,MC2007-110,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-110.pdf,Coastal Cleanup
2723,2007 14th BSP NATIONAL SCOUT JAMBOREE,MC2007-109,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-109.pdf,2007 14th BSP NATIONAL SCOUT JAMBOREE
2722,MONITORING AND SUBMISSION OF REPORTS ON NATIONAL GOVERNMENT AND LGU DISASTER RECOVERY AND REHABILITATION PROGRAMS,MC2007-106,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-106.pdf,MONITORING AND SUBMISSION OF REPORTS
2721,SPECIAL ACTIVITIES IN RELATION TO THE NATIONAL HEROES DAY CELEBRATION,MC2007-105,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-105.pdf,SPECIAL ACTIVITIES
2720,ESTABLISHING A HOME FOR THE CHILDREN IN CONFLICT WITH LAW IN THE LOCAL GOVERNMENTS OF METROPOLITAN MANILA,MC2007-104,,28/12/2007,https://dilg.gov.ph/PDF_File/issuances/memo_circulars/MC2007-104.pdf,ESTABLISHING A HOME FOR THE CHILDREN
